,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
91,Matt Schnell,Tyson Nam,Matt Schnell,15,5,0,0,"5'8""",125,"70""",Orthodox,1/15/1990,4.2,36%,4.02,62%,0.48,33%,53%,1.2,20,12,1,0,"5'7""",125,"68""",Orthodox,10/06/1983,3.64,31%,5.69,64%,0.0,0%,100%,0.0
92,Lerone Murphy,Douglas Silva de Andrade,Lerone Murphy,10,0,1,0,"5'9""",145,"73""",Orthodox,7/22/1991,2.86,42%,2.07,63%,0.87,33%,41%,0.9,26,4,0,1,"5'7""",145,"68""",Orthodox,6/22/1985,3.77,38%,4.26,58%,0.7,50%,66%,0.0
93,Omari Akhmedov,Tom Breese,Omari Akhmedov,21,5,1,0,"6'0""",185,"73""",Orthodox,10/12/1987,2.95,35%,2.59,57%,2.63,49%,65%,0.3,12,3,0,0,"6'3""",185,"73""",Southpaw,9/26/1991,3.34,50%,2.81,60%,0.0,0%,70%,1.1
94,Su Mudaerji,Zarrukh Adashev,Su Mudaerji,14,4,0,0,"5'8""",125,"72""",Southpaw,1/20/1996,4.49,51%,2.19,68%,0.4,100%,77%,0.8,3,3,0,0,"5'5""",125,"65""",Southpaw,7/29/1992,1.93,23%,3.35,60%,0.0,0%,0%,0.0
95,Dalcha Lungiambula,Markus Perez,Dalcha Lungiambula,11,2,0,0,"5'8""",185,"76""",Orthodox,7/31/1987,1.85,50%,2.27,43%,2.07,50%,75%,0.0,12,5,0,0,"6'1""",185,"73""",Orthodox,6/22/1988,2.6,47%,3.72,52%,0.81,25%,77%,1.0
96,Francisco Figueiredo,Jerome Rivera,Francisco Figueiredo,12,3,1,1,"5'6""",135,"69""",Southpaw,10/23/1989,1.93,54%,2.07,76%,4.0,66%,100%,0.0,10,5,0,0,"5'10""",145,"72""",Southpaw,4/22/1995,3.08,34%,2.47,51%,0.0,0%,40%,0.0
97,Max Holloway,Calvin Kattar,Max Holloway,22,6,0,0,"5'11""",145,"69""",Orthodox,12/04/1991,7.26,46%,4.58,60%,0.21,71%,84%,0.3,22,5,0,0,"5'11""",145,"72""",Orthodox,3/26/1988,5.07,42%,8.16,50%,0.37,30%,89%,0.0
98,Carlos Condit,Matt Brown,Carlos Condit,32,13,0,0,"6'2""",170,"75""",Orthodox,4/26/1984,3.63,39%,2.49,56%,0.62,54%,39%,1.0,24,18,0,0,"6'0""",170,"75""",Orthodox,1/10/1981,3.69,54%,2.67,55%,1.56,44%,63%,1.4
99,Santiago Ponzinibbio,Li Jingliang,Li Jingliang,28,4,0,0,"6'0""",170,"73""",Orthodox,9/26/1986,4.21,40%,4.05,64%,0.52,44%,60%,0.0,18,6,0,0,"6'0""",170,"71""",Orthodox,3/20/1988,4.52,42%,3.65,59%,1.28,39%,59%,0.0
100,Joaquin Buckley,Alessio Di Chirico,Alessio Di Chirico,12,4,0,0,"5'10""",185,"76""",Southpaw,4/27/1994,4.58,36%,5.46,51%,0.6,16%,100%,0.0,13,5,0,0,"6'0""",185,"74""",Orthodox,12/12/1989,3.3,41%,3.24,62%,1.62,45%,83%,0.0
101,Punahele Soriano,Dusko Todorovic,Punahele Soriano,8,0,0,0,"5'11""",185,"72""",Southpaw,11/22/1992,4.46,43%,2.86,52%,2.6,66%,0%,0.0,10,1,0,0,"6'1""",185,"74""",Orthodox,5/19/1994,7.45,62%,5.42,46%,0.53,6%,100%,0.0
102,Wu Yanan,Joselyne Edwards,Joselyne Edwards,11,4,0,0,"5'8""",125,"66""",Orthodox,4/18/1996,4.51,45%,4.82,51%,0.61,22%,66%,0.3,10,3,0,0,"5'8""",135,"70""",Orthodox,9/29/1995,4.2,53%,3.83,46%,0.5,16%,37%,0.5
103,Carlos Felipe,Justin Tafa,Carlos Felipe,10,1,0,0,"6'0""",245,"75""",Orthodox,1/12/1995,4.42,45%,4.6,47%,0.0,0%,70%,0.0,4,2,0,0,"6'0""",264,"74""",Southpaw,12/13/1993,5.33,59%,4.6,46%,0.0,0%,100%,0.0
104,David Zawada,Ramazan Emeev,Ramazan Emeev,17,6,0,0,"6'0""",170,"75""",Orthodox,8/01/1990,3.24,40%,4.07,54%,0.96,30%,57%,2.2,20,4,0,0,"5'10""",170,"76""",Southpaw,5/23/1987,2.5,45%,1.98,66%,2.33,29%,66%,0.5
105,Sarah Moras,Vanessa Melo,Vanessa Melo,6,8,0,0,"5'7""",135,"67""",Orthodox,4/30/1988,2.28,34%,3.58,50%,0.67,21%,33%,0.8,11,8,0,0,"5'5""",135,"65""",Orthodox,3/27/1988,3.48,30%,6.13,59%,0.0,0%,71%,0.0
106,Jacob Kilburn,Austin Lingo,Austin Lingo,8,4,0,0,"5'9""",145,"72""",Orthodox,6/28/1995,2.56,33%,6.78,35%,0.51,5%,20%,0.5,8,1,0,0,"5'10""",145,"70""",Orthodox,7/10/1994,3.57,44%,3.17,62%,1.0,66%,76%,0.0
107,Stephen Thompson,Geoff Neal,Stephen Thompson,16,4,1,0,"6'0""",170,"75""",Orthodox,2/11/1983,4.24,43%,2.8,58%,0.32,45%,78%,0.0,13,3,0,0,"5'11""",170,"75""",Southpaw,8/28/1990,4.94,49%,4.93,61%,0.5,50%,92%,0.2
108,Jose Aldo,Marlon Vera,Jose Aldo,29,7,0,0,"5'7""",135,"70""",Orthodox,9/09/1986,3.45,45%,3.52,61%,0.57,56%,91%,0.1,16,7,1,0,"5'8""",135,"70""",Switch,12/02/1992,3.65,49%,3.95,52%,0.78,37%,70%,1.1
109,Michel Pereira,Khaos Williams,Michel Pereira,25,11,0,2,"6'1""",170,"73""",Orthodox,10/06/1993,3.74,54%,2.84,58%,1.76,70%,100%,0.5,11,2,0,0,"6'0""",170,"77""",Orthodox,3/30/1994,4.39,45%,2.95,44%,0.0,0%,0%,0.0
110,Marlon Moraes,Rob Font,Rob Font,23,8,1,0,"5'6""",135,"67""",Orthodox,4/26/1988,3.38,39%,4.11,56%,1.0,41%,66%,0.4,18,4,0,0,"5'8""",135,"71""",Orthodox,6/25/1987,5.21,42%,3.83,62%,1.2,36%,48%,0.8
111,Marcin Tybura,Greg Hardy,Marcin Tybura,21,6,0,0,"6'3""",249,"78""",Orthodox,11/09/1985,3.7,50%,3.25,56%,1.62,45%,82%,0.1,7,3,0,1,"6'5""",265,"80""",Orthodox,7/28/1988,4.83,50%,3.12,56%,0.21,33%,80%,0.0
112,Anthony Pettis,Alex Morono,Anthony Pettis,24,10,0,0,"5'10""",155,"72""",Orthodox,1/27/1987,3.05,47%,3.44,54%,0.61,50%,60%,1.1,18,7,0,1,"5'11""",170,"72""",Orthodox,8/16/1990,4.96,42%,3.69,56%,0.44,28%,47%,0.4
113,Sijara Eubanks,Pannie Kianzad,Pannie Kianzad,7,6,0,0,"5'4""",135,"67""",Orthodox,4/27/1985,4.52,43%,3.69,57%,1.88,46%,65%,0.4,15,5,0,0,"5'7""",135,"66""",Orthodox,12/08/1991,5.14,49%,3.62,57%,0.22,14%,83%,0.2
114,Deron Winn,Antonio Arroyo,Deron Winn,7,2,0,0,"5'6""",185,"70""",Orthodox,6/13/1989,4.74,47%,5.17,50%,4.98,52%,0%,0.0,9,4,0,0,"6'3""",185,"73""",Orthodox,7/01/1989,3.08,70%,1.72,44%,1.4,41%,32%,0.3
115,Gillian Robertson,Taila Santos,Taila Santos,9,5,0,0,"5'5""",125,"63""",Orthodox,5/17/1995,2.05,51%,2.1,51%,2.64,46%,0%,0.9,17,1,0,0,"5'6""",125,"68""",Orthodox,6/22/1993,3.52,48%,2.22,59%,2.0,80%,85%,1.0
116,Tafon Nchukwi,Jamie Pickett,Tafon Nchukwi,5,0,0,0,"6'0""",205,"77""",Orthodox,10/14/1994,7.59,55%,4.31,52%,0.0,0%,75%,0.0,11,5,0,0,"6'2""",185,"80""",Orthodox,8/29/1988,2.84,55%,4.84,46%,1.48,40%,37%,0.4
117,Jimmy Flick,Cody Durden,Jimmy Flick,16,5,0,0,"5'7""",125,"68""",Orthodox,9/07/1990,1.99,58%,2.3,50%,1.81,50%,0%,7.2,11,3,1,0,"5'7""",125,"67""",Southpaw,3/29/1991,3.11,48%,3.93,41%,3.28,26%,50%,0.8
118,Christos Giagos,Carlton Minus,Christos Giagos,18,8,0,0,"5'10""",155,"71""",Orthodox,1/23/1990,2.88,41%,2.59,51%,3.11,39%,50%,0.3,10,3,0,1,"5'10""",170,"75""",Orthodox,4/26/1993,3.5,40%,4.97,50%,0.0,0%,58%,0.0
119,Deiveson Figueiredo,Brandon Moreno,,20,1,1,0,"5'5""",125,"68""",Orthodox,12/18/1987,3.38,56%,3.35,50%,1.57,50%,61%,2.4,18,5,2,0,"5'7""",125,"70""",Orthodox,12/07/1993,3.41,38%,3.41,59%,2.01,45%,67%,0.6
120,Tony Ferguson,Charles Oliveira,Charles Oliveira,26,5,0,0,"5'11""",155,"76""",Orthodox,2/12/1984,5.46,45%,3.94,59%,0.45,42%,70%,1.1,30,8,0,1,"5'10""",155,"74""",Orthodox,10/17/1989,3.22,52%,2.94,54%,2.64,44%,57%,2.8
121,Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,10,1,0,0,"5'4""",115,"63""",Orthodox,3/24/1993,3.74,38%,3.81,61%,0.28,5%,0%,2.2,16,2,0,0,"5'3""",115,"64""",Orthodox,5/30/1988,2.39,46%,3.08,54%,3.16,53%,73%,2.0
122,Kevin Holland,Jacare Souza,Kevin Holland,21,5,0,0,"6'3""",185,"81""",Orthodox,11/05/1992,4.74,57%,2.77,56%,1.19,42%,52%,0.8,26,9,0,1,"6'1""",185,"72""",Orthodox,12/07/1979,2.53,46%,2.85,62%,2.55,39%,60%,1.4
123,Junior Dos Santos,Ciryl Gane,Ciryl Gane,21,9,0,0,"6'4""",238,"77""",Orthodox,1/30/1984,4.49,47%,3.33,56%,0.3,50%,81%,0.1,8,0,0,0,"6'4""",245,"81""",Orthodox,4/12/1990,5.04,55%,1.85,69%,1.13,26%,100%,0.5
124,Cub Swanson,Daniel Pineda,Cub Swanson,27,11,0,0,"5'8""",145,"70""",Orthodox,11/02/1983,4.64,50%,3.64,60%,1.09,51%,60%,0.5,27,14,0,2,"5'7""",145,"69""",Orthodox,8/06/1985,3.41,49%,2.72,44%,1.55,29%,44%,1.8
125,Renato Moicano,Rafael Fiziev,Rafael Fiziev,14,4,1,0,"5'11""",155,"72""",Orthodox,5/21/1989,5.4,46%,3.74,65%,1.28,53%,78%,0.6,9,1,0,0,"5'8""",155,"71""",Switch,3/05/1993,4.67,57%,4.17,55%,0.84,50%,100%,0.0
126,Gavin Tucker,Billy Quarantillo,Gavin Tucker,13,2,0,0,"5'6""",145,"66""",Southpaw,6/17/1986,4.39,45%,4.28,57%,2.98,42%,53%,1.5,15,3,0,0,"5'10""",145,"70""",Orthodox,12/08/1988,7.03,64%,4.37,42%,1.28,31%,57%,1.8
127,Tecia Torres,Sam Hughes,Tecia Torres,12,5,0,0,"5'1""",115,"60""",Orthodox,8/16/1989,4.3,47%,3.37,62%,0.68,15%,56%,0.1,5,2,0,0,"5'5""",115,"64""",Orthodox,6/28/1992,4.0,37%,10.4,49%,0.0,0%,0%,0.0
128,Chase Hooper,Peter Barrett,Chase Hooper,10,1,1,0,"6'1""",145,"74""",Southpaw,9/13/1999,4.43,45%,3.95,38%,0.32,7%,66%,2.2,11,5,0,0,"5'10""",145,"73""",Southpaw,8/10/1986,4.18,61%,4.32,42%,1.39,22%,66%,0.0
129,Jack Hermansson,Marvin Vettori,Marvin Vettori,21,6,0,0,"6'1""",185,"77""",Orthodox,6/10/1988,5.03,44%,3.46,54%,1.96,34%,75%,0.7,16,4,1,0,"6'0""",185,"74""",Southpaw,9/20/1993,4.78,45%,3.19,66%,1.33,45%,78%,0.8
130,Ovince Saint Preux,Jamahal Hill,Jamahal Hill,25,15,0,0,"6'3""",205,"80""",Southpaw,4/08/1983,2.68,46%,3.03,45%,1.19,40%,66%,0.6,7,0,0,2,"6'4""",205,"79""",Southpaw,5/19/1991,7.9,52%,3.15,49%,0.0,0%,53%,0.0
131,Gabriel Benitez,Justin Jaynes,Gabriel Benitez,22,9,0,0,"5'8""",155,"71""",Southpaw,6/15/1988,4.38,38%,3.26,70%,0.17,50%,56%,1.2,16,7,0,0,"5'7""",155,"68""",Orthodox,8/10/1989,3.58,42%,6.49,58%,0.0,0%,33%,0.6
132,Roman Dolidze,John Allan,Roman Dolidze,8,0,0,0,"6'2""",205,"76""",Orthodox,7/15/1988,3.64,53%,1.71,67%,2.34,60%,0%,2.3,13,6,0,1,"6'1""",205,"75""",Orthodox,2/22/1993,2.95,43%,4.01,52%,1.94,71%,50%,1.2
133,Matt Wiman,Jordan Leavitt,Jordan Leavitt,16,10,0,0,"5'10""",155,"68""",Orthodox,9/19/1983,3.17,50%,3.57,51%,2.13,37%,56%,1.5,8,0,0,0,"5'9""",155,"71""",Southpaw,6/02/1995,1.08,55%,0.43,75%,6.5,66%,0%,3.2
134,Louis Smolka,Jose Quinonez,Louis Smolka,17,7,0,0,"5'9""",135,"68""",Orthodox,7/16/1991,4.44,46%,3.74,53%,1.84,37%,31%,1.9,9,5,0,0,"5'8""",135,"69""",Southpaw,7/28/1990,3.6,45%,3.0,64%,2.7,47%,42%,0.6
135,Ilia Topuria,Damon Jackson,Ilia Topuria,10,0,0,0,"5'7""",145,"69""",Orthodox,1/21/1997,2.5,45%,1.87,68%,4.25,55%,100%,4.2,18,4,1,1,"5'11""",145,"71""",Switch,8/08/1988,2.46,35%,3.63,45%,1.14,20%,35%,2.7
136,Gian Villante,Jake Collier,Jake Collier,17,13,0,0,"6'3""",230,"76""",Orthodox,8/18/1985,4.39,43%,5.48,55%,0.46,23%,83%,0.0,12,5,0,0,"6'3""",230,"78""",Orthodox,10/25/1988,4.92,41%,4.09,53%,0.57,23%,67%,0.4
137,Anthony Smith,Devin Clark,Anthony Smith,34,16,0,0,"6'4""",205,"76""",Orthodox,7/26/1988,2.94,46%,4.38,42%,0.49,28%,51%,0.7,12,5,0,0,"6'0""",205,"75""",Orthodox,4/12/1990,3.33,57%,2.43,48%,2.7,36%,76%,0.1
138,Miguel Baeza,Takashi Sato,Miguel Baeza,10,0,0,0,"6'2""",170,"74""",Orthodox,8/23/1992,4.64,55%,3.89,50%,0.8,40%,100%,1.2,16,4,0,0,"5'10""",170,"73""",Southpaw,6/09/1990,3.16,37%,4.81,50%,0.53,50%,75%,0.0
139,Josh Parisian,Parker Porter,Parker Porter,13,4,0,0,"6'4""",265,"79""",Orthodox,6/28/1989,7.46,51%,7.51,42%,0.0,0%,66%,0.7,11,6,0,0,"6'0""",265,"75""",Orthodox,4/22/1985,7.69,49%,7.36,52%,1.65,60%,0%,1.1
140,Spike Carlyle,Bill Algeo,Bill Algeo,9,3,0,0,"5'8""",145,"71""",Switch,5/06/1993,2.55,54%,3.85,30%,3.34,36%,57%,0.5,14,5,0,0,"6'0""",145,"73""",Switch,6/09/1989,6.8,56%,5.31,38%,0.67,33%,62%,0.0
141,Ashlee Evans-Smith,Norma Dumont,Norma Dumont,6,5,0,0,"5'8""",135,"67""",Orthodox,7/09/1987,4.54,34%,4.69,55%,1.1,23%,66%,0.0,5,1,0,0,"5'7""",135,"67""",Orthodox,10/01/1990,5.35,55%,2.65,72%,2.43,42%,100%,0.0
142,Jonathan Pearce,Kai Kamaka,Jonathan Pearce,10,4,0,0,"6'0""",145,"71""",Switch,5/01/1992,8.8,55%,6.65,46%,5.91,60%,75%,0.7,8,3,0,0,"5'7""",145,"69""",Orthodox,1/05/1995,6.58,60%,6.74,49%,3.68,75%,37%,0.6
143,Martin Day,Anderson Dos Santos,Anderson Dos Santos,8,6,0,0,"5'10""",145,"73""",Orthodox,11/10/1988,3.97,45%,3.79,53%,0.72,60%,65%,0.5,21,8,0,0,"5'5""",135,"70""",Orthodox,7/24/1985,2.66,28%,4.8,55%,1.3,18%,66%,0.9
144,Gina Mazany,Rachael Ostovich,Gina Mazany,7,4,0,0,"5'6""",125,"68""",Southpaw,8/19/1988,3.45,47%,3.07,51%,4.41,63%,33%,0.3,4,6,0,0,"5'3""",125,"62""",Orthodox,2/25/1991,2.54,43%,3.97,57%,2.03,83%,66%,0.8
145,Su Mudaerji,Malcolm Gordon,Su Mudaerji,14,4,0,0,"5'8""",125,"72""",Southpaw,1/20/1996,4.49,51%,2.19,68%,0.4,100%,77%,0.8,12,5,0,0,"5'7""",125,"71""",Switch,5/19/1990,0.55,13%,3.87,54%,0.0,0%,0%,0.0
146,Luke Sanders,Nate Maness,Nate Maness,13,4,0,0,"5'6""",135,"67""",Southpaw,12/12/1985,6.21,51%,4.11,53%,0.31,20%,66%,0.3,13,1,0,0,"5'10""",135,"72""",Orthodox,6/27/1991,2.4,45%,4.63,45%,1.33,66%,88%,0.7
147,Deiveson Figueiredo,Alex Perez,Deiveson Figueiredo,20,1,1,0,"5'5""",125,"68""",Orthodox,12/18/1987,3.38,56%,3.35,50%,1.57,50%,61%,2.4,24,6,0,0,"5'6""",125,"65""",Orthodox,3/21/1992,4.62,47%,3.08,61%,2.92,45%,87%,1.3
148,Valentina Shevchenko,Jennifer Maia,Valentina Shevchenko,19,3,0,0,"5'5""",125,"66""",Southpaw,3/07/1988,2.98,50%,2.03,62%,2.21,58%,75%,0.3,18,6,1,0,"5'4""",125,"64""",Orthodox,10/06/1988,3.34,39%,3.52,52%,0.34,50%,56%,0.2
149,Mike Perry,Tim Means,Tim Means,14,7,0,0,"5'10""",170,"71""",Orthodox,9/15/1991,4.35,47%,4.82,54%,0.69,38%,77%,0.2,31,12,1,1,"6'2""",170,"75""",Orthodox,2/20/1984,5.16,48%,3.58,61%,0.92,41%,64%,0.2
150,Katlyn Chookagian,Cynthia Calvillo,Katlyn Chookagian,15,4,0,0,"5'9""",125,"68""",Orthodox,12/28/1988,4.22,34%,4.23,63%,0.27,15%,51%,0.5,9,2,1,0,"5'4""",125,"64""",Orthodox,7/13/1987,4.18,41%,3.52,67%,1.85,44%,71%,1.1
151,Mauricio Rua,Paul Craig,Paul Craig,27,12,1,0,"6'1""",205,"76""",Orthodox,11/25/1981,3.57,50%,2.71,54%,2.12,48%,47%,0.8,14,4,1,0,"6'3""",205,"76""",Orthodox,11/27/1987,2.4,49%,2.43,49%,2.11,26%,55%,1.5
152,Brandon Moreno,Brandon Royval,Brandon Moreno,18,5,2,0,"5'7""",125,"70""",Orthodox,12/07/1993,3.41,38%,3.41,59%,2.01,45%,67%,0.6,12,5,0,0,"5'9""",125,"68""",Southpaw,8/16/1992,3.77,46%,2.88,47%,0.79,100%,53%,2.4
153,Joaquin Buckley,Jordan Wright,Joaquin Buckley,12,4,0,0,"5'10""",185,"76""",Southpaw,4/27/1994,4.58,36%,5.46,51%,0.6,16%,100%,0.0,11,1,0,1,"6'2""",205,"77""",Orthodox,10/07/1991,4.68,50%,8.02,40%,0.0,0%,100%,0.0
154,Antonina Shevchenko,Ariane Lipski,Antonina Shevchenko,9,2,0,0,"5'8""",125,"67""",Southpaw,11/20/1984,4.09,56%,2.51,54%,0.65,60%,56%,0.7,13,6,0,0,"5'6""",125,"67""",Orthodox,1/26/1994,3.03,32%,4.45,48%,0.27,25%,45%,0.5
155,Daniel Rodriguez,Nicolas Dalby,Nicolas Dalby,13,2,0,0,"6'1""",170,"74""",Southpaw,12/31/1986,7.68,46%,6.12,57%,1.34,62%,90%,0.3,19,3,1,2,"5'11""",170,"74""",Orthodox,11/16/1984,3.2,37%,3.57,55%,1.45,33%,63%,0.0
156,Alan Jouban,Jared Gooden,Alan Jouban,17,7,0,0,"6'0""",170,"73""",Southpaw,11/25/1981,5.67,50%,3.77,60%,0.51,44%,58%,0.3,17,5,0,0,"6'0""",170,"77""",Orthodox,12/05/1993,6.67,47%,11.2,49%,1.0,100%,100%,0.0
157,Kyle Daukaus,Dustin Stoltzfus,Kyle Daukaus,10,1,0,0,"6'3""",185,"76""",Southpaw,2/27/1993,3.69,59%,2.16,42%,2.33,41%,94%,1.7,13,2,0,0,"6'0""",185,"75""",Orthodox,11/15/1991,2.48,57%,3.93,48%,0.78,12%,62%,0.8
158,Louis Cosce,Sasha Palatnikov,Sasha Palatnikov,7,1,0,0,"5'9""",170,"71""",Orthodox,8/27/1995,8.22,48%,9.3,48%,1.07,11%,0%,0.0,6,2,0,0,"6'1""",170,"72""",Switch,3/15/1989,9.78,52%,7.74,51%,1.17,100%,88%,0.0
159,Paul Felder,Rafael Dos Anjos,Rafael Dos Anjos,17,6,0,0,"5'11""",155,"70""",Orthodox,4/25/1984,3.7,44%,3.44,48%,0.29,28%,64%,0.2,30,13,0,0,"5'8""",155,"70""",Southpaw,10/26/1984,3.49,46%,3.22,61%,1.93,37%,58%,0.6
160,Abdul Razak Alhassan,Khaos Williams,Khaos Williams,10,3,0,0,"5'10""",170,"73""",Orthodox,8/11/1985,4.54,48%,5.11,53%,0.72,28%,42%,0.0,11,2,0,0,"6'0""",170,"77""",Orthodox,3/30/1994,4.39,45%,2.95,44%,0.0,0%,0%,0.0
161,Ashley Yoder,Miranda Granger,Ashley Yoder,8,7,0,0,"5'7""",115,"69""",Southpaw,10/20/1987,2.75,39%,3.53,46%,1.33,37%,68%,0.7,7,2,0,0,"5'7""",125,"68""",Orthodox,4/13/1992,2.91,48%,2.64,59%,0.0,0%,40%,0.0
162,Brendan Allen,Sean Strickland,Sean Strickland,15,4,0,0,"6'2""",185,"75""",Orthodox,12/28/1995,3.55,59%,4.57,39%,1.17,37%,50%,2.0,22,3,0,0,"6'1""",185,"76""",Orthodox,2/27/1991,5.09,38%,3.77,66%,1.26,60%,81%,0.4
163,Kay Hansen,Cory McKenna,Cory McKenna,7,4,0,0,"5'2""",115,"63""",Orthodox,8/14/1999,3.57,59%,3.03,54%,2.19,25%,100%,1.6,6,1,0,0,"5'3""",115,"58""",Orthodox,11/07/1999,3.47,44%,3.03,45%,0.5,50%,71%,0.0
164,Randa Markos,Kanako Murata,Kanako Murata,10,11,1,0,"5'4""",115,"63""",Orthodox,8/10/1985,2.85,41%,3.2,59%,1.23,28%,57%,0.2,12,1,0,0,"5'1""",115,"62""",Orthodox,8/10/1993,1.93,67%,1.93,52%,4.0,44%,0%,2.0
165,Geraldo de Freitas,Tony Gravely,Tony Gravely,12,6,0,0,"5'7""",135,"72""",Orthodox,9/30/1991,3.67,52%,2.62,50%,3.0,45%,59%,0.0,20,6,0,0,"5'5""",135,"69""",Orthodox,9/28/1991,3.69,55%,3.16,42%,5.6,51%,50%,0.8
166,Alex Morono,Rhys McKee,Alex Morono,18,7,0,1,"5'11""",170,"72""",Orthodox,8/16/1990,4.96,42%,3.69,56%,0.44,28%,47%,0.4,10,4,1,0,"6'2""",170,"78""",Orthodox,9/10/1995,6.83,53%,11.9,43%,0.0,0%,20%,0.0
167,Don'Tale Mayes,Roque Martinez,Don'Tale Mayes,8,4,0,0,"6'6""",260,"81""",Orthodox,1/16/1992,4.13,45%,4.46,43%,0.23,20%,59%,0.0,15,7,2,0,"5'10""",250,"72""",Orthodox,3/04/1986,2.67,51%,4.68,59%,0.62,50%,16%,0.0
168,Thiago Santos,Glover Teixeira,Glover Teixeira,21,9,0,0,"6'2""",205,"76""",Orthodox,1/07/1984,4.27,48%,2.33,55%,0.7,38%,66%,0.1,32,7,0,0,"6'2""",205,"76""",Orthodox,10/28/1979,3.75,47%,3.84,54%,2.04,40%,60%,1.0
169,Andrei Arlovski,Tanner Boser,Andrei Arlovski,30,20,0,2,"6'3""",240,"77""",Orthodox,2/04/1979,3.48,44%,2.83,57%,0.47,36%,78%,0.3,19,7,1,0,"6'2""",255,"75""",Orthodox,8/02/1991,4.54,55%,2.7,63%,0.0,0%,100%,0.0
170,Raoni Barcelos,Khalid Taha,Raoni Barcelos,16,1,0,0,"5'7""",135,"67""",Orthodox,5/01/1987,5.59,52%,4.17,67%,2.23,56%,85%,0.7,13,3,0,1,"5'5""",135,"69""",Orthodox,2/15/1992,2.86,35%,4.26,43%,0.0,0%,61%,0.3
171,Giga Chikadze,Jamey Simmons,Giga Chikadze,12,2,0,0,"6'0""",145,"74""",Orthodox,8/25/1988,3.45,43%,2.65,60%,0.38,33%,68%,0.0,7,3,0,0,"5'6""",145,"70""",Orthodox,9/11/1992,0.52,50%,2.08,50%,0.0,0%,100%,0.0
172,Claudia Gadelha,Yan Xiaonan,Yan Xiaonan,18,5,0,0,"5'4""",115,"63""",Orthodox,12/07/1988,3.31,41%,4.57,57%,3.03,42%,58%,0.7,13,1,0,1,"5'5""",115,"63""",Orthodox,6/16/1989,6.42,42%,3.63,63%,1.0,75%,75%,0.0
173,Trevin Giles,Bevon Lewis,Trevin Giles,13,2,0,0,"6'0""",185,"74""",Orthodox,8/06/1992,3.57,57%,1.83,64%,1.45,87%,80%,0.2,7,3,0,0,"6'3""",185,"79""",Orthodox,5/05/1991,3.73,43%,2.67,54%,0.0,0%,66%,0.0
174,Alexandr Romanov,Marcos Rogerio de Lima,Alexandr Romanov,13,0,0,0,"6'2""",262,"75""",Southpaw,12/11/1990,4.31,39%,1.76,43%,6.35,66%,0%,3.2,17,8,1,0,"6'1""",253,"75""",Orthodox,6/25/1985,3.78,54%,2.53,54%,0.71,60%,43%,0.7
175,Darren Elkins,Eduardo Garagorri,Darren Elkins,26,9,0,0,"5'10""",145,"71""",Orthodox,5/16/1984,3.5,38%,3.08,52%,2.7,33%,58%,1.2,13,2,0,0,"5'9""",145,"70""",Orthodox,5/28/1989,3.42,51%,2.36,58%,0.48,100%,61%,0.0
176,Max Griffin,Ramiz Brahimaj,Max Griffin,16,8,0,0,"5'11""",170,"76""",Orthodox,11/29/1985,4.08,48%,3.91,56%,1.73,53%,66%,0.5,8,3,0,0,"5'10""",170,"72""",Orthodox,11/17/1992,3.73,36%,6.14,55%,0.0,0%,100%,0.0
177,Gustavo Lopez,Anthony Birchak,Gustavo Lopez,12,5,0,0,"5'5""",135,"67""",Orthodox,6/27/1989,2.26,40%,5.08,46%,1.69,66%,27%,0.8,16,7,0,0,"5'8""",135,"69""",Orthodox,5/16/1986,4.23,36%,3.06,60%,0.6,16%,73%,0.0
178,Uriah Hall,Anderson Silva,Uriah Hall,17,9,0,0,"6'0""",185,"79""",Orthodox,7/31/1984,3.34,51%,3.54,53%,0.67,38%,69%,0.2,34,11,0,1,"6'2""",185,"77""",Southpaw,4/14/1975,3.05,61%,2.05,60%,0.5,77%,69%,0.8
179,Bryce Mitchell,Andre Fili,Bryce Mitchell,14,1,0,0,"5'10""",145,"70""",Southpaw,10/04/1994,2.29,61%,1.46,60%,3.26,46%,33%,2.3,21,8,0,0,"5'11""",145,"74""",Orthodox,6/25/1990,3.73,36%,3.9,52%,2.5,49%,64%,0.2
180,Maurice Greene,Greg Hardy,Greg Hardy,9,6,0,0,"6'7""",258,"80""",Orthodox,7/05/1986,4.12,44%,4.37,45%,0.0,0%,28%,0.6,7,3,0,1,"6'5""",265,"80""",Orthodox,7/28/1988,4.83,50%,3.12,56%,0.21,33%,80%,0.0
181,Kevin Holland,Charlie Ontiveros,Kevin Holland,21,5,0,0,"6'3""",185,"81""",Orthodox,11/05/1992,4.74,57%,2.77,56%,1.19,42%,52%,0.8,11,7,0,0,"6'2""",185,"78""",Switch,7/04/1991,0.33,40%,4.18,19%,0.0,0%,0%,0.0
